spect_id,sep_cosmos2015_arcsec,sep_classic_arcsec,sep_farmer_arcsec,sep_cosmos2025_arcsec
M11_245252,0.036700420607969894,0.05355229068661919,,
M11_245621,0.06428162328891159,0.07877975069313808,0.07839082730162442,
M13_245763,0.06008369884662033,0.07687527960045785,0.07685377481195556,
M11_245864,0.04207713192233181,0.05269318302716641,0.06062004368568548,
M13_246149,0.04181091229933032,0.17021604570901658,0.1702707780965505,
M13_248217,0.06618210294280219,0.10097885846030931,0.09992524887874203,
M11_248829,0.0096417444557549,0.0954183041409322,0.09730695090876415,
M11_250391,0.04261125690406837,0.07711806577745654,0.15152825304609133,
M13_253688,0.043181724575629694,0.08658762948169528,0.08728688809896215,
M13_254350,0.02626580341389923,0.11937485043158479,0.11935808546934432,
M13_255047,0.039134791577067486,0.092720924594117,0.09225877407806354,
M11_257455,0.1407066263225812,0.06662699714341615,0.06777625292464286,
M13_258753,0.07620077830684455,0.13109423357841113,0.13104941743227766,
M13_259737,0.08566519052567492,0.043099625472061524,,
